Country,DB 2018,DB 2019
,,
East Asia & Pacific,62.45,63.41
Europe & Central Asia,71.23,72.34
Latin America & Caribbean,58.73,58.97
Middle East & North Africa,56.85,58.3
OECD high income,77.61,77.8
South Asia,53.89,56.71
Sub-Saharan Africa,50.43,51.61
,,
Afghanistan,37.13,47.77
Albania,69.01,69.51
Algeria,47.59,49.65
Angola,41.7,43.86
Antigua and Barbuda,59.42,59.48
Argentina,57.93,58.8
Armenia,73.31,75.37
Australia,80.14,80.13
Austria,78.54,78.57
Azerbaijan,71.54,78.64
"Bahamas, The",58.13,58.9
Bahrain,68.03,69.85
Bangladesh,41.06,41.97
Bangladesh - Chittagong,41.77,42.89
Bangladesh - Dhaka,40.86,41.71
Barbados,56.78,56.78
Belarus,75.05,75.77
Belgium,71.71,73.95
Belize,57.11,57.13
Benin,51.29,51.42
Bhutan,65.88,66.08
Bolivia,50.17,50.32
Bosnia and Herzegovina,63.55,63.82
Botswana,64.94,65.4
Brazil,57.05,60.01
Brazil - Rio de Janeiro,58.25,60.13
Brazil - São Paulo,56.29,59.94
Brunei Darussalam,70.18,72.03
Bulgaria,71.13,71.24
Burkina Faso,51.45,51.57
Burundi,46.68,47.41
Cape Verde,55.93,55.95
Cambodia,54.39,54.8
Cameroon,46.95,47.78
Canada,78.88,79.26
Central African Republic,34.23,36.9
Chad,38.21,39.36
Chile,71.44,71.81
China,65,73.64
China - Beijing,64.99,73.59
China - Shanghai,65,73.68
Colombia,69.04,69.24
Comoros,48.52,48.66
"Congo, Dem. Rep.",36.18,36.85
"Congo, Rep.",39.47,39.83
Costa Rica,69.36,68.89
Côte d'Ivoire,53.06,58
Croatia,71.06,71.4
Cyprus,71.27,71.71
Czech Republic,76.05,76.1
Denmark,84.05,84.64
Djibouti,53.15,62.02
Dominica,61.03,61.07
Dominican Republic,60.57,61.12
Ecuador,57.82,57.94
"Egypt, Arab Rep.",55.82,58.56
El Salvador,65.2,65.41
Equatorial Guinea,41.66,41.94
Eritrea,22.94,23.07
Estonia,80.49,80.5
Eswatini,58.82,58.95
Ethiopia,48.15,49.06
Fiji,61.11,61.15
Finland,80.3,80.35
France,76.3,77.29
Gabon,45.81,45.58
"Gambia, The",51.49,51.72
Georgia,82.8,83.28
Germany,78.9,78.9
Ghana,57.16,59.22
Greece,68.2,68.08
Grenada,52.64,52.71
Guatemala,61.16,62.17
Guinea,49.49,51.51
Guinea-Bissau,42.58,42.85
Guyana,56.78,55.57
Haiti,38.41,38.52
Honduras,58.13,58.22
"Hong Kong SAR, China",84.18,84.22
Hungary,71.94,72.28
Iceland,79.3,79.35
India,60.6,67.23
India - Delhi,61.14,67.99
India - Mumbai,60,66.38
Indonesia,66.54,67.96
Indonesia - Jakarta,66.74,68.14
Indonesia - Surabaya,65.81,67.3
"Iran, Islamic Rep.",54.64,56.98
Iraq,44.68,44.72
Ireland,79.42,78.91
Israel,72.59,73.23
Italy,72.71,72.56
Jamaica,66.92,67.47
Japan,75.6,75.65
Japan - Osaka,75.52,75.54
Japan - Tokyo,75.64,75.71
Jordan,59.56,60.98
Kazakhstan,77.16,77.89
Kenya,65.06,70.31
Kiribati,48.74,49.07
South Korea,84.15,84.14
Kosovo,73.71,74.15
Kuwait,61.45,62.2
Kyrgyz Republic,65.76,68.33
Lao PDR,51.15,51.26
Latvia,79.26,79.59
Lebanon,53.97,54.04
Lesotho,60.41,60.6
Liberia,43.55,43.51
Libya,33.21,33.44
Lithuania,80.54,80.83
Luxembourg,69.01,69.01
"Macedonia, FYR",81.23,81.55
Madagascar,48.18,48.89
Malawi,58.75,59.59
Malaysia,78.03,80.6
Maldives,54.33,54.43
Mali,53.27,53.5
Malta,65.15,65.43
Marshall Islands,51.61,51.62
Mauritania,51.07,51.99
Mauritius,78.29,79.58
Mexico,72.27,72.09
Mexico - Mexico City,71.59,71.41
Mexico - Monterrey,75.59,75.42
"Micronesia, Fed. Sts.",48.99,48.99
Moldova,73.16,73.54
Mongolia,67.47,67.74
Montenegro,72.53,72.73
Morocco,68.56,71.02
Mozambique,53.75,55.53
Myanmar,44.21,44.72
Namibia,60.29,60.53
Nepal,59.95,59.63
Netherlands,76.03,76.04
New Zealand,86.59,86.59
Nicaragua,55.27,55.64
Niger,52.48,53.72
Nigeria,51.52,52.89
Nigeria - Kano,54.76,55.51
Nigeria - Lagos,50.55,52.11
Norway,82.7,82.95
Oman,67.21,67.19
Pakistan,52.78,55.31
Pakistan - Karachi,51.68,53.86
Pakistan - Lahore,54.82,57.99
Palau,55.58,55.59
Panama,65.71,66.12
Papua New Guinea,58.93,60.12
Paraguay,58.99,59.4
Peru,68.27,68.83
Philippines,56.32,57.68
Poland,77.31,76.95
Portugal,76.62,76.55
Puerto Rico (U.S.),69.26,69.46
Qatar,65.25,65.89
Romania,72.83,72.3
Russian Federation,76.76,77.37
Russian Federation - Moscow,77.05,77.59
Russian Federation - Saint Petersburg,76.1,76.85
Rwanda,73.73,77.88
Samoa,63.76,63.77
San Marino,62.47,64.74
São Tomé and Príncipe,44.84,45.14
Saudi Arabia,61.88,63.5
Senegal,53.78,54.15
Serbia,73.32,73.49
Seychelles,62.42,62.41
Sierra Leone,48.59,48.74
Singapore,84.97,85.24
Slovak Republic,74.88,75.17
Slovenia,75.59,75.61
Solomon Islands,58.84,59.17
Somalia,19.98,20.04
South Africa,64.66,66.03
South Sudan,33.3,35.34
Spain,77.61,77.68
Sri Lanka,59.42,61.22
St. Kitts and Nevis,54.35,54.36
St. Lucia,62.96,63.02
St. Vincent and the Grenadines,56.34,56.35
Sudan,45.09,48.84
Suriname,48.1,48.05
Sweden,81.27,81.27
Switzerland,75.68,75.69
Syrian Arab Republic,41.55,41.57
Taiwan,80.66,80.9
Tajikistan,57.03,57.11
Tanzania,53.29,53.63
Thailand,77.39,78.45
Timor-Leste,39.89,41.6
Togo,48.88,55.2
Tonga,63.56,63.59
Trinidad and Tobago,60.93,60.81
Tunisia,64.6,66.11
Turkey,69.99,74.33
Uganda,56.41,57.06
Ukraine,67.31,68.25
United Arab Emirates,78.91,81.28
United Kingdom,82.32,82.65
United States,82.76,82.75
United States - Los Angeles,80.88,80.88
United States - New York City,84.02,83.99
Uruguay,62.26,62.6
Uzbekistan,66.32,67.4
Vanuatu,63.08,62.87
"Venezuela, RB",30.85,30.61
Vietnam,66.77,68.36
West Bank and Gaza,58.72,59.11
"Yemen, Rep.",33,32.41
Zambia,63.6,65.08
Zimbabwe,48.52,50.44
